u1,u2,intersection_size,union_size,jaccard
27,30361,1,1,1.0
27,61907,1,1,1.0
27,62073,1,1,1.0
27,72634,1,1,1.0
27,73913,1,1,1.0
27,83668,1,1,1.0
27,95153,1,1,1.0
27,98589,1,1,1.0
27,98905,1,1,1.0
27,101283,1,1,1.0
27,102398,1,1,1.0
27,107051,1,1,1.0
27,125843,1,1,1.0
27,128733,1,1,1.0
27,139478,1,1,1.0
27,144410,1,1,1.0
27,154534,1,1,1.0
27,156971,1,1,1.0
27,158537,1,1,1.0
27,168636,1,1,1.0
27,169726,1,1,1.0
27,177548,1,1,1.0
27,195206,1,1,1.0
27,198733,1,1,1.0
30,4664,1,1,1.0
30,13753,1,1,1.0
30,20477,1,1,1.0
30,21686,1,1,1.0
30,26024,1,1,1.0
30,30473,1,1,1.0
