u1,u2,intersection_size,union_size,jaccard
4848,37861,1,1,1.0
4848,45591,1,1,1.0
4848,168527,1,1,1.0
7497,181565,1,1,1.0
7569,23738,1,1,1.0
7569,50222,1,1,1.0
7569,53614,1,1,1.0
7569,54582,1,1,1.0
7569,61753,1,1,1.0
7569,75674,1,1,1.0
7569,109659,1,1,1.0
7569,121495,1,1,1.0
7615,180260,18,18,1.0
11849,86861,2,2,1.0
14604,115002,1,1,1.0
15246,42888,1,1,1.0
18572,186775,1,1,1.0
23689,142792,2,2,1.0
23738,50222,1,1,1.0
23738,53614,1,1,1.0
23738,54582,1,1,1.0
23738,61753,1,1,1.0
23738,75674,1,1,1.0
23738,109659,1,1,1.0
23738,121495,1,1,1.0
25778,59009,19,19,1.0
26070,42160,1,1,1.0
26070,101539,1,1,1.0
28779,70434,4,4,1.0
28779,123931,4,4,1.0
